train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1,test_acc,test_prec,test_rec,test_f1,Algorithm,classification
0.6086309523809523,0.6281036193659582,0.6086309523809523,0.5931707114954777,0.42783505154639173,0.5972416182968032,0.42783505154639173,0.4545023811533322,0.5090252707581228,0.6596074508358996,0.5090252707581228,0.5373996467034095,Naive Bayes,ER
0.9955357142857143,0.9955401036361221,0.9955357142857143,0.9955357043998557,0.9845360824742269,0.984702178759183,0.9845360824742269,0.984585695898517,0.5451263537906137,0.6025271160991654,0.5451263537906137,0.5678012409337796,Decision Tree,ER
0.8184523809523809,0.8206793206793206,0.8184523809523809,0.818136645962733,0.6649484536082474,0.7020123023166496,0.6649484536082474,0.678780808426641,0.6064981949458483,0.664983702131609,0.6064981949458483,0.6271377417349434,KNN,ER
0.5967261904761905,0.6090614919052804,0.5967261904761905,0.5849913972858721,0.6494845360824743,0.6718341283274349,0.6494845360824743,0.6591128222070891,0.6209386281588448,0.6556421199098957,0.6209386281588448,0.6351772945355683,Logistic Regression,ER
0.9970238095238095,0.9970414201183431,0.9970238095238095,0.9970237831613447,1.0,1.0,1.0,1.0,0.703971119133574,0.6540166520310924,0.703971119133574,0.6686575925296361,Random Forest,ER
0.5,0.25,0.5,0.3333333333333333,0.7422680412371134,0.5509618450419811,0.7422680412371134,0.6324650765570671,0.7436823104693141,0.5530633789049774,0.7436823104693141,0.6343625505452535,SVM,ER
0.9985119047619048,0.9985163204747775,0.9985119047619048,0.9985119014666185,1.0,1.0,1.0,1.0,,,,,XGBoost,ER
0.6541019955654102,0.625519532836606,0.6541019955654102,0.6182712468432017,0.6443298969072165,0.613163363639429,0.6443298969072165,0.6113063796791166,0.6137184115523465,0.5781152744927176,0.6137184115523465,0.5840001190819134,Naive Bayes,PR
0.738359201773836,0.7389288135013374,0.738359201773836,0.7133964872188733,0.8041237113402062,0.8215493134104095,0.8041237113402062,0.7868243201297869,0.6209386281588448,0.5750396989605905,0.6209386281588448,0.5768621744273277,Decision Tree,PR
0.6873614190687362,0.6768385077875612,0.6873614190687362,0.6410164330515238,0.6907216494845361,0.6815027755749404,0.6907216494845361,0.6437188606523988,0.6209386281588448,0.5650980198862032,0.6209386281588448,0.5647947905687236,KNN,PR
